Year,Pk,Tm,Player,College,Yrs,G,MP...8,PTS...9,TRB...10,AST...11,FG%,3P%,FT%,MP...15,PTS...16,TRB...17,AST...18,WS,WS/48,BPM,VORP,Seasons,VPS,mean_vps,median_vps,repl325_vps,VOADP_mean,VOADP_med,VOADP_repl,exp_vps_pick,VODP,exp_vps_pick_med,VODP_med
2023,34,SAC,Colby Jones,Xavier,2,69,707,221,127,64,0.435,0.254,0.63,10.2,3.2,1.8,0.9,0.6,0.041,-3.4,-0.3,2,-0.15,0.027272727272727264,-0.05,-0.17249999999999996,-0.17727272727272725,-0.09999999999999999,0.022499999999999964,0.15320246795781733,-0.30320246795781736,-8.521931010360706e-4,-0.14914780689896392
2023,35,CHI,Julian Phillips,Tennessee,2,119,1446,455,205,52,0.44,0.325,0.768,12.2,3.8,1.7,0.4,2.1,0.069,-3.5,-0.6,2,-0.3,0.027272727272727264,-0.05,-0.17249999999999996,-0.32727272727272727,-0.25,-0.12750000000000003,0.1476628114356347,-0.4476628114356347,-0.003278262003038208,-0.2967217379969618
2023,36,MIL,Andre Jackson Jr.,UConn,2,124,1552,355,295,133,0.485,0.385,0.571,12.5,2.9,2.4,1.1,2.2,0.067,-3.5,-0.6,2,-0.3,0.027272727272727264,-0.05,-0.17249999999999996,-0.32727272727272727,-0.25,-0.12750000000000003,0.1420564620833413,-0.44205646208334126,-0.004967139140395749,-0.29503286085960423
2023,37,DEN,Hunter Tyson,Clemson,2,69,448,154,87,22,0.379,0.307,0.75,6.5,2.2,1.3,0.3,0.4,0.043,-5.2,-0.4,2,-0.2,0.027272727272727264,-0.05,-0.17249999999999996,-0.22727272727272727,-0.15000000000000002,-0.027500000000000052,0.13637029063280634,-0.3363702906328063,-0.006019000230725964,-0.19398099976927405
2023,38,BOS,Jordan Walsh,Arkansas,2,61,486,97,89,24,0.367,0.266,0.571,8,1.6,1.5,0.4,0.5,0.052,-3.9,-0.2,2,-0.1,0.027272727272727264,-0.05,-0.17249999999999996,-0.12727272727272726,-0.05,0.07249999999999995,0.1305929557090531,-0.2305929557090531,-0.006553315986198311,-0.0934466840138017
2023,39,ATL,Mouhamed Gueye,Washington State,2,39,606,221,161,31,0.412,0.267,0.771,15.5,5.7,4.1,0.8,1.4,0.109,-0.7,0.2,2,0.1,0.027272727272727264,-0.05,-0.17249999999999996,0.07272727272727274,0.15000000000000002,0.27249999999999996,0.12471311593710457,-0.02471311593710457,-0.006689557118982512,0.10668955711898252
2023,40,LAL,Maxwell Lewis,Pepperdine,2,62,430,127,59,25,0.38,0.339,0.692,6.9,2,1,0.4,-0.2,-0.024,-6.6,-0.5,2,-0.25,0.027272727272727264,-0.05,-0.17249999999999996,-0.2772727272727273,-0.2,-0.07750000000000004,0.11871942994198349,-0.3687194299419835,-0.006547194341248654,-0.24345280565875135
2023,41,CHO,Amari Bailey,UCLA,1,10,65,23,9,7,0.333,0.125,0.857,6.5,2.3,0.9,0.7,-0.1,-0.044,-8.3,-0.1,2,-0.05,0.027272727272727264,-0.05,-0.17249999999999996,-0.07727272727272727,0,0.12249999999999996,0.11260055634871349,-0.1626005563487135,-0.006245698365165972,-0.04375430163483403
2023,42,WAS,Tristan Vukcevic,NA,2,45,666,415,166,52,0.482,0.348,0.775,14.8,9.2,3.7,1.2,0.9,0.063,-1.2,0.1,2,0.05,0.027272727272727264,-0.05,-0.17249999999999996,0.02272727272727274,0.1,0.22249999999999998,0.10634515378231721,-0.056345153782317206,-0.005904539902904654,0.05590453990290466
2023,43,POR,Rayan Rupert,NA,2,91,1093,310,162,87,0.37,0.321,0.764,12,3.4,1.8,1,-0.1,-0.002,-5.9,-1.1,2,-0.55,0.027272727272727264,-0.05,-0.17249999999999996,-0.5772727272727273,-0.5,-0.37750000000000006,0.09994188086781804,-0.6499418808678181,-0.005643189666634035,-0.544356810333366
2023,44,SAS,Sidy Cissoko,NA,2,34,255,77,43,25,0.46,0.16,0.625,7.5,2.3,1.3,0.7,0.2,0.04,-3.8,-0.1,2,-0.05,0.027272727272727264,-0.05,-0.17249999999999996,-0.07727272727272727,0,0.12249999999999996,0.09339005134199557,-0.14339005134199556,-0.0055654522199943286,-0.044434547780005676
