Tm,Picks,Avg_VOADP,Total_VOADP,Median_VOADP,BreakEvenRate,Avg_dEPV,Total_dEPV,Total_WdEPV,Avg_WdEPV,Avg_z_dEPV,Avg_z_dEPV_dec
MIA,28,-0.020531941898702,-0.451702721771444,-0.30000448897507725,0.3181818181818182,0.0209513170819378,0.4609289758026316,-0.08043257377953818,-0.003656026080888099,-0.04189281931454065,-0.09715569719931488
MIL,39,-0.021748137706963464,-0.8046810951576482,-0.2605536332179931,0.21621621621621623,0.01752646093415733,0.6484790545638212,0.48031611662146884,0.012981516665445104,0.061975074342590135,0.014979296975125274
LAC,38,-0.028795967781591495,-1.036654840137294,-0.28036735527544354,0.25,0.0277034818152213,0.9973253453479668,0.09213242337500202,0.002559233982638945,-0.018900070983346617,-6.5036860956751e-4
NYK,36,-0.030311811238706875,-1.0306015821160337,-0.14172668392593202,0.38235294117647056,-0.0028112127189168154,-0.09558123244317174,1.0118240116480717,0.029759529754355047,0.03224920942240683,0.021853419402009064
BOS,52,-0.03130906041851148,-1.5341439605070626,-0.2901010101010101,0.2857142857142857,0.06400546132011627,3.136267604685697,2.51703517774419,0.05136806485192224,0.039534443864087755,0.002159075380929808
ATL,49,-0.04395200575629656,-1.8459842417644554,-0.2872531063707534,0.2619047619047619,-0.0838976940888605,-3.523703151732141,-4.495428386859071,-0.10703400921093027,-0.1272240127916923,-0.1174677148949054
LAL,40,-0.045310757713783026,-1.585876519982406,-0.23448275862068965,0.34285714285714286,0.01754044600047674,0.6139156100166859,0.49256361047747665,0.014073246013642191,-0.00792567450674425,-0.01795372602753125
POR,49,-0.05167864907560801,-2.3255392084023603,-0.28741830065359475,0.2,-0.06580224497308781,-2.961101023788952,-3.7835775490553396,-0.08407950109011866,-0.10944572383316872,-0.1525286246259246
SAC,48,-0.07875066776832038,-3.4650293818060964,-0.3234343434343434,0.22727272727272727,-0.10654593056120272,-4.688020944692919,-4.913419702225001,-0.11166862959602275,-0.11275965943691753,-0.10678737111397135
DET,51,-0.10164990192467374,-4.574245586610318,-0.2888392857142857,0.28888888888888886,-0.08943991425980025,-4.024796141691011,-4.01995108713392,-0.0893322463807538,-0.09304483743342877,-0.0778076976634949
PHO,42,-0.11097515704280139,-4.106080810583651,-0.3551020408163265,0.2972972972972973,-0.0730109069118904,-2.7014035557399447,-2.8306930393333043,-0.0765052172792785,-0.0314969553374,-0.07492540774233675
BRK,40,-0.11609531893937691,-4.295526800756946,-0.3070909090909091,0.1891891891891892,0.012452545544919301,0.46074418516201415,-0.5518989868086994,-0.014916188832667552,-0.05400384796342031,-0.08236383131508414
IND,40,-0.11938539363662451,-4.059103383645233,-0.3009700939199209,0.23529411764705882,-0.08279221334726818,-2.8149352538071177,-4.671036485267226,-0.13738342603727136,-0.1999100328795586,-0.18249582807319603
CHO,47,-0.1954360182308121,-8.599184802155733,-0.32669935781097303,0.22727272727272727,-0.2817642640070837,-12.397627616311684,-15.908715058375602,-0.3615617058721728,-0.3822088728003301,-0.36149883580786807
WAS,37,-0.22193825278553642,-7.102024089137165,-0.36513763593672766,0.21875,-0.33112931350776126,-10.59613803224836,-11.860762289811664,-0.3706488215566145,-0.40099204974093117,-0.40002009938487504
